,text,label
206,"Hello, my amazing followers! 😊 Today is the day I finally get to share some big news with you!NBC has decided to pull the upcoming episode of ""New Amsterdam"" about a flu pandemic that hits New York City out of respect for those battling the coronavirus outbreakThank you for taking the time to check this out! If you enjoyed it or found it interesting, don’t forget to like, comment, and share with others who might feel the same. Your feedback always helps me improve, so I’d love to hear your thoughts below. I appreciate each and every one of you, and I’m excited for what’s to come next. Thanks again for being such an important part of this journey! 🙌 l ",True
550,"Hey everyone! 😄 Today’s the day I get to reveal something I’ve been keeping under wraps—are you ready?Donald Trump tweeted, “Corona vaccine from Israel! Stock market up! Economy even stronger now! Besides US, Israel best at inventions: Judaism, olives. Wonderful vaccine, will stop Corona DEAD around world. Can’t make vaccines when being bombed, not have been possible without peace I created in Israel!”Thank you for being a part of this! Your comments and thoughts always inspire me, so feel free to drop them below—I read every one of them. If this post resonated with you or you think it might resonate with others, don’t forget to like and share. Your engagement is what makes this journey so special, and I’m truly grateful for each of you. Looking forward to ",False
529,"Hello, my amazing followers! 😊 Today is the day I finally get to share some big news with you!All US citizens are entitled to $700 USD per week to stay at home to avoid the spread of COVID-19 novel coronavirus, starting from March 17I’m always eager to hear your thoughts, so drop a comment below and let me know what you think! Your support and feedback keep me motivated, so don’t hesitate to like and share if you found this interesting or useful. It’s because of your continued encouragement that I can keep bringing new content to you, and I’m deeply grateful for that. Thanks for being part of this journey! 🙌 Thanks for being here! I’d love to hear your thoughts on this, so feel free to leave ",False
407,"BBC News reported that actor Daniel Radcliffe was the ""first famous person"" to contract the coronavirus",False
217,"Hello all! 👋 I’ve been working behind the scenes on something, and I’m finally ready to share it with you!New Jersey Gov. Phil Murphy chided a man facing charges for allegedly coughing on a Wegman’s grocery store employee and then claiming he contracted the coronavirus; reaction and analysis from Fox News senior judicial analyst Judge Andrew NapolitanoYour thoughts and opinions always help me grow, so feel free to drop a comment below with your feedback! If this post resonated with you or you found it valuable, don’t forget to like and share with others who might benefit from it as well. Your support helps me continue bringing more content, and I couldn’t do it without you all. Thanks for being such an amazing part of this journey! 🙌 #CommunityMatters ",True
419,"Hello there! 😊 I hope you're ready for something fresh and exciting because I've got some big news!All schools are to close for 2 weeks also from March 6th … Offices will resume after 2 weeks of the mandatory closure. A list of all schools and businesses in your area is shown on the listThanks so much for taking the time to read this! I’d love to know your thoughts, so feel free to leave a comment below. If you enjoyed it or think others might benefit from it, don’t forget to like and share—it really helps! Your feedback is always welcome and deeply appreciated. I can’t wait to continue this journey with all of you! 😊 #CommunitySupport #ExcitedForMore ",False
497,"What’s up, everyone? 🌟 I have something new and exciting that I think you’re going to love!In France, a woman said that she has “a very very very well placed uncle” with ties to national ministers from whom she got information that the whole country would soon be in full quarantineI can’t wait to hear your feedback! Your thoughts always push me to do better, so don’t hesitate to share them in the comments below. If you think others might enjoy or benefit from this post, a like and share would be much appreciated! Your support is what keeps me going, and I’m deeply grateful for this incredible community we’ve built together. Looking forward to connecting with you all soon! 😊 ",False
277,"Hey all! 🎉 Today is a big day, and I’m so happy to be sharing this new journey with you!New York State says that it will fight the coronavirus outbreak by using the blood plasma of recovered patientsThanks for checking this out! Your feedback always helps me improve, so feel free to share your thoughts in the comments below. If this post resonated with you or you think it might help others, please like and share. Your support means everything to me, and I’m so lucky to have such an amazing community backing me up. I’m looking forward to hearing from you all soon! 😊 #AppreciateYouI hope this update brought you value! If you have any thoughts or questions, don’t hesitate to leave them in the comments below—I’d love ",True
564,"What’s up, everyone? 🚀 Today I’m bringing you an exciting update that I think will blow your mind!Two patients at Valley Regional Medical Center in Brownsville, Texas, are being looked at for possible coronavirus infectionsThank you so much for your ongoing support—it means more than you know! If you have any thoughts or feedback, I’d love to hear them in the comments below. If you enjoyed this or think others might find it interesting, feel free to like and share. Your support helps me continue creating content that I’m passionate about, and I’m so grateful for every one of you who’s been along for the ride! 🙏Thanks so much for taking the time to read this! I’d love to know your thoughts, so feel free to leave a comment ",False
178,"Hello all! 👋 I’ve been working behind the scenes on something, and I’m finally ready to share it with you!Princes George and Louis and Princess Charlotte are showing their appreciation for healthcare workers fighting the coronavirusYour support and feedback always mean so much to me! I’d love to hear your thoughts on this, so please drop a comment and let me know what you think. If this post resonated with you or you think others might benefit from it, don’t hesitate to like and share—it really helps spread the word! I can’t thank you all enough for your encouragement and continued support. Let’s keep growing together! 😊Thanks for checking this out! Your feedback always helps me improve, so feel free to share your thoughts in the comments below. If ",True
