,text,label
712,一手消息，大家请注意啦！#北京健康宝崩了#希望能尽快修好今天还能到公司了吗加油健康宝！这是要给我放假了吗？ L心慌的尊者的微博视频 ​   朋友们，记得转发，不要忘记哟！祝愿好人一生平安!愿大家事业有成，家庭幸福，父母永远健康长寿，孩子学业有成，远离灾厄病痛~~~！！！！,False
240,【#民航局将视情针对海外华人开行临时班机或包机#】日前，民航局运输司相关负责人介绍，将密切关注国外疫情变化形势，根据需要采取进一步措施收紧国际客运航班总量，也将继续按照部署根据实际需求，对一些需求集中、飞行目的地有接收能力的城市，#视情启动针对海外华人的重大航空运输保障#机制，开行临时班机或包机。O民航局：视情启动针对海外华人的重大,True
207,【张伯礼：目前#已向意大利援助10万盒连花清瘟胶囊#】23日，中国工程院院士、天津中医药大学校长张伯礼表示，连花清瘟胶囊主要的功效是清瘟解毒，宣肺泄热，对于治疗轻型和普通型的新冠肺炎患者有确切的疗效。目前已向意大利援助了10万盒，最新消息是意大利方面还要追加再寄10万盒支援意大利。（特别提醒：服药请遵医嘱） L人民日报的微博视频,True
688,一手消息，大家请注意啦！哈尔滨已经封城！因绥芬河口岸疫情影响，现在不进不出，高速路下来的从哪里来回哪里去！ L木南者也的微博视频   朋友们，记得转发，不要忘记哟！祝愿好人一生平安!愿大家事业有成，家庭幸福，父母永远健康长寿，孩子学业有成，远离灾厄病痛~~~！！！！,False
500,学校开学时间：高三，初三，3月2日开学，高一，高二，初一，初二，3月9日开学，小学4一6年级，3月16日开学，幼儿园，小学1一3年级，大学，职校继续延时，直至疫情消除。市政府会议精神，3月16日居民出行正常化，17日公交正常化，18日逐步企业生产和市场经营正常化，22日重点场所正常化，25日机场、高速、动车、国道正常化。目前为止待在,False
105,#寻找抗疫平民英雄#【辛苦了！#一家三口都是社区志愿者#】24日，武汉劝业场社区门口一对志愿者父子兵。父亲称自己在武汉做生意，疫情来得突然生意做不了了，于是加入社区志愿者想让疫情早点结束。儿子今年大一，白天上网课晚上和自己一起做志愿者。妻子也参与志愿工作。随采结束，询问二人如何称呼，父亲说，叫志愿者就行了。#武汉守夜人#  L人民日,True
459,"刚刚！美国研制出抑制冠状病毒特效药，并对中国无偿援助美国首例确诊病例在接受吉利德科学在Remdesivir(瑞德西韦)作为特效药诊疗之后,病情出现了迅速缓解。据上观新闻,关于美国吉利德公司研发的抗病毒药remdesivir(瑞德西韦)被美国科学家认为有望对冠状病毒进行抑制！美国吉利德科学公司(GILD.O)周五表示，该公司提供了实验",False
69,【#第六版治疗方案形成中#】国家卫生健康委医政医管局监察专员郭燕红在17日举行的国务院联防联控机制新闻发布会上说，国家调拨精锐“部队”、最高层的医护力量驰援武汉，钟南山院士、王辰院士、李兰娟院士的团队，#三大院士团队一直工作在临床一线#，在复杂的危重症救治中提出建议，探索出一些新的疗法和技术，纳入到诊疗方案之中。目前第六版治疗方案正,True
536,"一手消息，大家请注意啦！《""我已不是中国人""，中国宁波的一位女子，为获美国绿卡，慷慨对美捐赠20万只口罩 。 为了快速》知不为在百度动态发表了新动态O网页链接   朋友们，记得转发，不要忘记哟！祝愿好人一生平安!愿大家事业有成，家庭幸福，父母永远健康长寿，孩子学业有成，远离灾厄病痛~~~！！！！",False
391,【#昨日新增境外输入和本土确诊各1例#】#31省区市新增新冠肺炎2例#5月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例2例，其中1例为境外输入病例（在上海），1例为本土病例（在山西）；无新增死亡病例；无新增疑似病例。　　当日新增治愈出院病例28例，解除医学观察的密切接触者882人，重症病例减少3例。　,True
